Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
57	10:17:46	10:17:46	10:17:46	10:17:46	10:18:25	10:18:25			10:18:25	10:18:25	10:18:26	10:18:26	10:20:54	10:20:54	10:20:54	10:20:54	10:20:54	10:20:54			10:20:56	10:20:56		00:00:00	00:00:39		00:00:00	00:00:00	00:02:27	00:00:00	00:00:00		00:00:02	00:03:10
58	10:20:56	10:20:56	10:20:57	10:20:57	10:21:30	10:21:30			10:21:30	10:21:30	10:21:30	10:21:30	10:24:07	10:24:07	10:24:07	10:24:07	10:24:07	10:24:07			10:24:09	10:24:09		00:00:00	00:00:33		00:00:00	00:00:00	00:02:36	00:00:00	00:00:00		00:00:01	00:03:12
59	10:24:09	10:24:09	10:24:09	10:24:09	10:24:49	10:24:49			10:24:49	10:24:49	10:24:50	10:24:50	10:27:20	10:27:20	10:27:20	10:27:20	10:27:20	10:27:20			10:27:22	10:27:22		00:00:00	00:00:39		00:00:00	00:00:01	00:02:29	00:00:00	00:00:00		00:00:01	00:03:13
60	10:27:22	10:27:22	10:27:22	10:27:22	10:28:01	10:28:01			10:28:01	10:28:01	10:28:01	10:28:01	10:30:33	10:30:33	10:30:33	10:30:33	10:30:33	10:30:33	10:30:33	10:30:33	10:30:52	10:30:52		00:00:00	00:00:38		00:00:00	00:00:00	00:02:31	00:00:00	00:00:00	00:00:00	00:00:18	00:03:29
61	10:30:52	10:30:52	10:30:53	10:30:53	10:31:30	10:31:30			10:31:30	10:31:30	10:31:30	10:31:30	10:33:45	10:33:45	10:33:45	10:33:45	10:33:45	10:33:45			10:33:45	10:33:45		00:00:00	00:00:37		00:00:00	00:00:00	00:02:14	00:00:00	00:00:00		00:00:00	00:02:53
62	10:33:45	10:33:45	10:33:45	10:33:45	10:34:21	10:34:21			10:34:21	10:34:21	10:34:22	10:34:22	10:36:56	10:36:56	10:36:56	10:36:56	10:36:56	10:36:56			10:36:58	10:36:58		00:00:00	00:00:35		00:00:00	00:00:00	00:02:34	00:00:00	00:00:00		00:00:02	00:03:13
63	10:36:59	10:36:59	10:36:59	10:36:59	10:37:35	10:37:35			10:37:35	10:37:35	10:37:36	10:37:36	10:40:07	10:40:07	10:40:07	10:40:07	10:40:08	10:40:08			10:40:09	10:40:09		00:00:00	00:00:36		00:00:00	00:00:00	00:02:31	00:00:00	00:00:00		00:00:00	00:03:10
64	10:40:09	10:40:09	10:40:09	10:40:09	10:40:45	10:40:45			10:40:45	10:40:45	10:40:46	10:40:46	10:43:15	10:43:15	10:43:15	10:43:15	10:43:15	10:43:15			10:43:15	10:43:15		00:00:00	00:00:36		00:00:00	00:00:00	00:02:29	00:00:00	00:00:00		00:00:00	00:03:06
65	10:43:16	10:43:16	10:43:16	10:43:16	10:43:52	10:43:52			10:43:53	10:43:53	10:43:53	10:43:53	10:46:30	10:46:30	10:46:30	10:46:30	10:46:30	10:46:30			10:46:31	10:46:31		00:00:00	00:00:36		00:00:00	00:00:00	00:02:37	00:00:00	00:00:00		00:00:00	00:03:15
66	10:46:31	10:46:31	10:46:31	10:46:31	10:47:06	10:47:06			10:47:06	10:47:06	10:47:06	10:47:06	10:49:55	10:49:55	10:49:55	10:49:55	10:49:55	10:49:55			10:49:57	10:49:57		00:00:00	00:00:35		00:00:00	00:00:00	00:02:48	00:00:00	00:00:00		00:00:01	00:03:26
67	10:49:57	10:49:57	10:49:57	10:49:57	10:50:32	10:50:32			10:50:33	10:50:33	10:50:33	10:50:33	10:52:59	10:52:59	10:52:59	10:52:59	10:53:00	10:53:00			10:53:01	10:53:01		00:00:00	00:00:35		00:00:00	00:00:00	00:02:25	00:00:00	00:00:00		00:00:01	00:03:04
68	10:53:01	10:53:01	10:53:02	10:53:02	10:53:39	10:53:39			10:53:40	10:53:40	10:53:40	10:53:40	10:56:09	10:56:09	10:56:09	10:56:09	10:56:09	10:56:09			10:56:12	10:56:12		00:00:00	00:00:37		00:00:00	00:00:00	00:02:29	00:00:00	00:00:00		00:00:02	00:03:10
69	10:56:12	10:56:12	10:56:12	10:56:12	10:56:50	10:56:50			10:56:50	10:56:50	10:56:50	10:56:50	10:59:23	10:59:23	10:59:23	10:59:23	10:59:23	10:59:23			10:59:24	10:59:24		00:00:00	00:00:37		00:00:00	00:00:00	00:02:32	00:00:00	00:00:00		00:00:01	00:03:12
70	10:59:25	10:59:25	10:59:25	10:59:25	11:00:00	11:00:00			11:00:00	11:00:00	11:00:01	11:00:01	11:02:34	11:02:34	11:02:34	11:02:34	11:02:34	11:02:34	11:02:34	11:02:34	11:02:54	11:02:54		00:00:00	00:00:35		00:00:00	00:00:00	00:02:33	00:00:00	00:00:00	00:00:00	00:00:19	00:03:29
71	11:02:54	11:02:54	11:02:54	11:02:54	11:03:31	11:03:31			11:03:31	11:03:31	11:03:32	11:03:32	11:06:07	11:06:07	11:06:07	11:06:07	11:06:07	11:06:07			11:06:07	11:06:07		00:00:00	00:00:36		00:00:00	00:00:00	00:02:34	00:00:00	00:00:00		00:00:00	00:03:13
