linkID,volume,capacity
549573,6,2000.0
150994-151003-150990,5,1200.0
61522,15,6000.0
187242,1,1200.0
61525,1,1200.0
187243,1,4000.0
310880,22,4000.0
187244,1,4000.0
61517,12,6000.0
3959,9,4000.0
187251,1,600.0
310874,12,4000.0
310875,8,4000.0
310876,16,4000.0
310877,16,4000.0
310878,26,4000.0
310879,20,4000.0
185364-561853,1,1200.0
211463-211461,1,1200.0
319227,3,1200.0
319228,4,1200.0
319229,4,1200.0
61535,1,2400.0
319225,11,2000.0
61537,1,2400.0
187255,2,1200.0
319226,2,2000.0
413984-413986,5,1200.0
3960,9,4000.0
574528,3,1200.0
3961,3,2000.0
187228,9,1200.0
187229,10,1200.0
3981,1,6000.0
604529-613527,2,1200.0
187226,1,1200.0
187227,1,1200.0
348533-348534,4,1200.0
572964-264013,37,4000.0
574530,3,1200.0
61539,1,2400.0
3979,3,1200.0
310854,23,4000.0
310855,24,4000.0
574536,1,1200.0
310857,1,1200.0
3977,3,1200.0
187239,2,1200.0
73885-584605,1,1200.0
187237,1,1200.0
187238,1,1200.0
319201,1,1200.0
187240,1,1200.0
574544,1,4000.0
187241,2,1200.0
574545,1,4000.0
3982,1,6000.0
3983,3,9000.0
286125-281489-227275-227273,1,1200.0
3984,1,9000.0
12099-420975,2,4000.0
476177,1,1200.0
285436,2,1200.0
327142-327118,1,4000.0
216136-216077,1,1200.0
450710-450712,1,1200.0
476187,1,1200.0
285443,6,1200.0
476183,1,1200.0
476185,1,1200.0
319305,1,1200.0
541202-541200,3,1200.0
319307,1,1200.0
476181,1,1200.0
358900,2,1200.0
310963,13,1200.0
310964,9,1200.0
310965,9,1200.0
310966,4,1200.0
310967,4,1200.0
310968,20,6000.0
476179,1,1200.0
285452,3,2000.0
285454,10,1200.0
285455,1,1200.0
285456,9,1200.0
476152,1,1200.0
501486,26,6000.0
501487,26,6000.0
501488,26,6000.0
501489,26,6000.0
501483,1,1200.0
501484,1,1200.0
310934,5,1200.0
310935,21,2000.0
310936,9,2000.0
310937,24,2000.0
310938,7,2000.0
310939,25,2000.0
476148,1,1200.0
285462,29,3000.0
476165,1,1200.0
285463,19,3000.0
476160,1,1200.0
476163,3,1200.0
501475,8,1200.0
310940,4,2000.0
310941,23,2000.0
310942,5,2000.0
501472,11,1200.0
501473,10,1200.0
501474,4,1200.0
310946,11,1200.0
602515-611888,3,1200.0
312733-370044,11,4000.0
495793-54801-54803,4,6000.0
549444,8,1200.0
11013-395990-395992-395994-395986-395988-395961,3,1200.0
358940,7,1200.0
128822,1,6000.0
310915,1,1200.0
310917,1,1200.0
128828,1,6000.0
476144,1,1200.0
285406,1,1200.0
358941,7,1200.0
358942,6,1200.0
476139,3,4000.0
501490,27,6000.0
128816,1,6000.0
285410,3,1200.0
285411,2,1200.0
285414,8,1200.0
521734-438291-438333,52,12000.0
285415,8,1200.0
285416,8,1200.0
285417,8,1200.0
358952,52,8000.0
285419,1,2000.0
165499-165500,17,16000.0
383912,1,1200.0
383913,1,2400.0
383910,1,1200.0
383911,1,1200.0
383905,48,6000.0
483611-499776,35,9000.0
358963,1,1200.0
358965,1,1200.0
549410,10,1200.0
549411,7,1200.0
549414,16,4000.0
310904,33,6000.0
